ID,c,r_c,r_t,M_V,m_tot,M_bol,M_U,M_B,M_R,M_I,M_J,M_H,M_Ks
115,1.68,3.65,175.0,-9.373,892192.88,-9.926,-8.607,-8.649,-9.851,-10.327,-10.978,-11.479,-11.561
116,0.51,53.47,175.0,-9.907,1507855.12,-10.459,-9.184,-9.204,-10.371,-10.839,-11.482,-11.978,-12.059
117,1.52,5.24,175.0,-5.668,26500.55,-6.26,-4.815,-4.896,-6.177,-6.684,-7.379,-7.914,-8.006
118,1.03,10.9,116.52,-6.805,84007.91,-7.355,-6.051,-6.088,-7.283,-7.764,-8.415,-8.911,-9.0
119,1.11,13.62,175.0,-7.499,156692.22,-8.07,-6.747,-6.778,-7.981,-8.459,-9.118,-9.622,-9.712
120,1.9,1.4,110.14,-3.067,2716.64,-3.572,-2.403,-2.413,-3.51,-3.959,-4.565,-5.018,-5.101
121,0.67,13.4,62.92,-2.361,1613.47,-2.898,-1.636,-1.653,-2.831,-3.302,-3.94,-4.421,-4.508
122,0.52,17.7,58.37,-3.026,2936.56,-3.526,-2.402,-2.379,-3.465,-3.908,-4.502,-4.943,-5.025
123,0.68,30.52,145.13,-4.587,11905.75,-5.104,-3.906,-3.912,-5.041,-5.499,-6.116,-6.579,-6.663
124,0.88,6.89,51.7,-4.124,6929.22,-4.66,-3.397,-3.426,-4.592,-5.062,-5.702,-6.186,-6.272
125,1.42,6.65,175.0,-7.652,183385.8,-8.228,-6.925,-6.943,-8.127,-8.601,-9.254,-9.754,-9.843
126,2.26,0.34,62.73,-2.665,1955.95,-3.2,-1.936,-1.951,-3.137,-3.61,-4.247,-4.727,-4.812
127,0.54,50.2,175.0,-8.499,406697.38,-9.047,-7.736,-7.777,-8.976,-9.457,-10.114,-10.612,-10.698
128,2.35,0.18,39.35,-2.954,2488.19,-3.477,-2.237,-2.262,-3.416,-3.881,-4.508,-4.979,-5.064
129,1.47,5.9,175.0,-6.945,89772.76,-7.513,-6.138,-6.199,-7.438,-7.931,-8.6,-9.113,-9.203
130,1.13,5.55,75.49,-4.847,13639.22,-5.401,-4.062,-4.112,-5.333,-5.817,-6.476,-6.977,-7.064
131,0.56,8.81,32.35,-3.75,4849.5,-4.279,-3.02,-3.051,-4.216,-4.685,-5.318,-5.795,-5.88
132,1.75,0.94,52.71,-2.458,1557.9,-3.032,-1.634,-1.702,-2.955,-3.451,-4.128,-4.646,-4.737
133,1.08,14.72,175.0,-7.487,156258.98,-8.047,-6.708,-6.755,-7.974,-8.456,-9.119,-9.626,-9.716
134,1.1,3.44,42.98,-5.194,17944.17,-5.765,-4.388,-4.447,-5.688,-6.183,-6.858,-7.375,-7.465
135,1.05,15.72,175.0,-7.498,158446.61,-8.058,-6.773,-6.794,-7.972,-8.444,-9.091,-9.587,-9.675
136,0.79,7.16,44.39,-3.263,3630.69,-3.797,-2.545,-2.565,-3.73,-4.199,-4.834,-5.311,-5.398
137,1.26,9.56,175.0,-7.081,107068.36,-7.628,-6.32,-6.36,-7.56,-8.039,-8.687,-9.182,-9.27
138,1.42,4.6,120.81,-3.316,3759.28,-3.826,-2.661,-2.652,-3.763,-4.215,-4.822,-5.275,-5.358
139,1.96,0.31,28.59,-2.894,2327.25,-3.432,-2.151,-2.185,-3.366,-3.84,-4.483,-4.969,-5.055
140,0.61,19.08,76.89,-6.25,47521.01,-6.813,-5.452,-5.509,-6.74,-7.23,-7.898,-8.407,-8.497
141,1.93,1.22,104.81,-4.068,7973.04,-4.583,-3.405,-3.402,-4.518,-4.972,-5.585,-6.044,-6.128
142,1.86,0.78,56.47,-3.023,3158.64,-3.571,-2.276,-2.301,-3.501,-3.981,-4.63,-5.12,-5.209
143,1.41,6.79,175.0,-8.986,629533.88,-9.541,-8.236,-8.271,-9.463,-9.942,-10.59,-11.089,-11.173
144,0.92,20.91,175.0,-7.814,210829.2,-8.379,-7.058,-7.091,-8.292,-8.772,-9.431,-9.935,-10.024
145,1.54,0.66,22.93,-2.736,1937.49,-3.229,-2.104,-2.094,-3.171,-3.612,-4.203,-4.641,-4.72
146,1.96,1.9,175.0,-9.837,1428136.75,-10.377,-9.11,-9.135,-10.3,-10.766,-11.405,-11.898,-11.978
147,2.3,0.88,175.0,-7.479,156934.58,-8.025,-6.726,-6.763,-7.956,-8.43,-9.078,-9.572,-9.661
148,1.89,2.28,175.0,-8.85,551327.38,-9.418,-8.105,-8.136,-9.327,-9.808,-10.46,-10.96,-11.044
149,0.57,36.93,136.88,-6.099,45583.47,-6.634,-5.367,-5.393,-6.569,-7.041,-7.679,-8.161,-8.247
150,0.72,6.54,34.05,-2.28,1586.63,-2.77,-1.689,-1.653,-2.707,-3.141,-3.72,-4.146,-4.226
151,1.82,2.64,175.0,-9.722,1271809.62,-10.271,-8.996,-9.018,-10.187,-10.654,-11.293,-11.786,-11.866
152,0.75,7.56,42.85,-2.997,2333.79,-3.587,-2.139,-2.224,-3.505,-4.009,-4.705,-5.235,-5.327
153,0.99,11.09,107.25,-3.349,3870.56,-3.873,-2.654,-2.669,-3.807,-4.268,-4.893,-5.363,-5.449
154,0.89,21.97,170.01,-5.216,20082.39,-5.769,-4.451,-4.491,-5.697,-6.18,-6.836,-7.336,-7.424
155,1.18,11.43,175.0,-9.165,726587.94,-9.714,-8.406,-8.447,-9.642,-10.12,-10.767,-11.265,-11.348
156,1.0,17.69,175.0,-6.204,45494.02,-6.771,-5.403,-5.461,-6.696,-7.188,-7.861,-8.373,-8.463
157,0.9,13.03,102.37,-4.748,11694.3,-5.286,-3.998,-4.039,-5.22,-5.694,-6.338,-6.826,-6.912
158,2.08,1.22,146.1,-5.949,39279.0,-6.486,-5.213,-5.243,-6.419,-6.892,-7.534,-8.018,-8.105
159,1.43,5.11,137.81,-8.171,282031.22,-8.734,-7.416,-7.454,-8.648,-9.129,-9.79,-10.295,-10.382
160,1.0,9.39,93.8,-3.669,4446.63,-4.226,-2.895,-2.944,-4.152,-4.636,-5.298,-5.803,-5.891
161,1.14,11.3,154.89,-5.659,29900.61,-6.203,-4.909,-4.944,-6.134,-6.612,-7.261,-7.752,-7.84
162,2.26,0.73,133.24,-3.906,5477.31,-4.445,-3.141,-3.184,-4.382,-4.859,-5.506,-5.995,-6.081
163,1.87,1.67,124.84,-4.96,16234.07,-5.52,-4.185,-4.228,-5.446,-5.932,-6.595,-7.1,-7.189
164,1.14,12.76,175.0,-8.028,260609.0,-8.58,-7.252,-7.297,-8.508,-8.99,-9.652,-10.157,-10.244
165,0.78,28.88,175.0,-7.858,225810.98,-8.4,-7.103,-7.14,-8.331,-8.804,-9.452,-9.946,-10.033
166,2.44,0.39,107.95,-3.87,6509.01,-4.393,-3.185,-3.187,-4.328,-4.789,-5.411,-5.878,-5.963
167,0.78,23.94,143.12,-7.776,206617.73,-8.332,-7.001,-7.045,-8.258,-8.741,-9.404,-9.912,-10.002
168,0.55,33.06,116.81,-6.992,98756.91,-7.55,-6.213,-6.261,-7.478,-7.964,-8.622,-9.126,-9.215
169,0.72,33.37,175.0,-5.951,34217.19,-6.52,-5.132,-5.2,-6.446,-6.94,-7.616,-8.132,-8.221
170,1.29,8.88,175.0,-6.226,46733.31,-6.841,-5.502,-5.511,-6.706,-7.19,-7.853,-8.359,-8.448
171,2.32,0.84,175.0,-9.526,1069535.38,-10.076,-8.792,-8.818,-9.997,-10.464,-11.106,-11.601,-11.682
172,0.7,5.78,28.72,-2.024,1222.7,-2.545,-1.347,-1.341,-2.481,-2.942,-3.56,-4.023,-4.108
173,1.72,2.12,111.72,-5.646,26355.69,-6.231,-4.811,-4.884,-6.15,-6.653,-7.342,-7.871,-7.962
174,1.4,5.87,146.47,-4.395,10483.59,-4.916,-3.708,-3.712,-4.853,-5.313,-5.934,-6.398,-6.483
175,1.56,3.39,122.04,-3.295,3676.08,-3.825,-2.577,-2.593,-3.761,-4.23,-4.863,-5.338,-5.424
176,0.92,21.01,175.0,-7.215,116295.13,-7.802,-6.449,-6.485,-7.702,-8.189,-8.855,-9.367,-9.458
177,0.56,48.39,175.0,-8.229,303648.31,-8.786,-7.459,-7.504,-8.708,-9.191,-9.853,-10.357,-10.444
178,1.9,2.19,175.0,-7.651,180730.64,-8.205,-6.915,-6.943,-8.124,-8.597,-9.246,-9.743,-9.831
179,2.31,0.35,71.59,-1.969,1002.24,-2.532,-1.136,-1.211,-2.464,-2.958,-3.629,-4.138,-4.228
180,0.93,20.78,175.0,-7.655,181536.27,-8.226,-6.945,-6.957,-8.124,-8.593,-9.237,-9.731,-9.818
181,0.67,37.73,175.0,-6.868,85047.07,-7.418,-6.102,-6.145,-7.348,-7.83,-8.482,-8.98,-9.068
182,0.56,29.13,104.61,-2.925,2659.94,-3.423,-2.305,-2.282,-3.362,-3.803,-4.394,-4.832,-4.913
183,0.77,29.91,175.0,-4.919,14670.71,-5.491,-4.113,-4.172,-5.413,-5.908,-6.584,-7.102,-7.192
184,1.07,3.87,45.1,-4.678,10608.06,-5.236,-3.885,-3.942,-5.165,-5.651,-6.317,-6.824,-6.912
185,0.54,22.43,77.85,-4.107,7319.26,-4.634,-3.393,-3.413,-4.57,-5.036,-5.666,-6.139,-6.224
186,1.73,2.35,126.56,-3.524,4777.78,-4.043,-2.852,-2.847,-3.978,-4.436,-5.052,-5.514,-5.599
187,0.64,40.18,175.0,-9.634,1175560.62,-10.182,-8.899,-8.926,-10.104,-10.572,-11.213,-11.709,-11.79
188,1.35,7.78,175.0,-9.293,823534.56,-9.847,-8.518,-8.565,-9.775,-10.255,-10.91,-11.415,-11.498
189,0.54,44.71,156.32,-7.942,225856.31,-8.516,-7.184,-7.218,-8.421,-8.903,-9.565,-10.073,-10.161
190,1.21,8.54,139.38,-5.937,36408.21,-6.48,-5.18,-5.22,-6.413,-6.891,-7.539,-8.03,-8.116
191,2.35,0.78,175.0,-6.421,55504.77,-6.977,-5.642,-5.691,-6.905,-7.39,-8.051,-8.554,-8.643
192,0.84,25.54,175.0,-8.393,363688.94,-8.94,-7.626,-7.669,-8.87,-9.35,-10.007,-10.503,-10.589
193,1.1,3.69,46.8,-3.212,3107.33,-3.753,-2.456,-2.491,-3.688,-4.165,-4.811,-5.299,-5.385
194,1.82,0.94,61.89,-3.347,3840.58,-3.883,-2.61,-2.638,-3.818,-4.29,-4.93,-5.412,-5.5
195,0.53,51.87,175.0,-6.462,55576.77,-7.026,-5.644,-5.712,-6.956,-7.448,-8.118,-8.627,-8.716
196,1.0,9.41,94.71,-2.515,1834.17,-3.025,-1.856,-1.854,-2.961,-3.412,-4.02,-4.474,-4.558
197,2.35,0.79,175.0,-7.458,142751.73,-8.062,-6.69,-6.724,-7.949,-8.437,-9.109,-9.627,-9.718
198,1.61,4.26,175.0,-5.812,36952.94,-6.344,-5.091,-5.112,-6.279,-6.748,-7.382,-7.86,-7.946
199,0.8,4.38,27.85,-2.516,2030.4,-3.031,-1.851,-1.842,-2.969,-3.425,-4.038,-4.494,-4.579
200,0.7,20.34,101.62,-4.661,12633.48,-5.186,-3.949,-3.969,-5.123,-5.589,-6.216,-6.688,-6.773
201,0.97,7.66,71.94,-4.133,8340.35,-4.685,-3.394,-3.419,-4.61,-5.089,-5.742,-6.239,-6.328
202,0.98,18.3,175.0,-8.348,334574.78,-8.91,-7.575,-7.62,-8.829,-9.314,-9.978,-10.483,-10.57
203,1.76,0.63,35.74,-2.944,2462.17,-3.482,-2.209,-2.234,-3.416,-3.889,-4.529,-5.013,-5.099
204,2.28,0.92,175.0,-7.748,193663.5,-8.302,-6.966,-7.015,-8.231,-8.713,-9.375,-9.882,-9.971
205,1.27,5.96,112.07,-6.625,70809.87,-7.203,-5.925,-5.929,-7.095,-7.568,-8.213,-8.704,-8.792
206,1.37,7.48,175.0,-7.498,156523.98,-8.063,-6.702,-6.756,-7.989,-8.475,-9.143,-9.655,-9.745
207,1.98,0.57,54.14,-4.181,7298.17,-4.787,-3.326,-3.403,-4.696,-5.208,-5.914,-6.458,-6.552
208,1.09,14.1,175.0,-5.492,24185.68,-6.061,-4.677,-4.739,-5.987,-6.482,-7.156,-7.671,-7.761
209,1.21,1.33,21.52,-2.051,1275.89,-2.559,-1.417,-1.39,-2.496,-2.946,-3.546,-3.992,-4.074
210,1.29,4.28,83.76,-3.526,4549.31,-4.062,-2.792,-2.816,-3.997,-4.469,-5.108,-5.591,-5.678
211,1.71,1.31,67.54,-2.824,2413.81,-3.361,-2.094,-2.112,-3.295,-3.769,-4.408,-4.891,-4.978
212,0.58,46.28,175.0,-8.74,498672.25,-9.292,-7.979,-8.022,-9.218,-9.699,-10.353,-10.853,-10.938
213,1.16,12.04,175.0,-7.204,123236.51,-7.742,-6.468,-6.496,-7.675,-8.147,-8.785,-9.271,-9.358
214,0.73,23.87,129.08,-4.586,10889.34,-5.142,-3.801,-3.849,-5.072,-5.558,-6.219,-6.722,-6.811
215,1.11,9.81,125.68,-8.11,279850.38,-8.655,-7.347,-7.388,-8.586,-9.064,-9.719,-10.218,-10.304
216,0.51,54.64,175.0,-7.992,250407.78,-8.543,-7.248,-7.278,-8.464,-8.939,-9.591,-10.088,-10.175
